From,To,Year of order,Duration,Quantity,Weapon description
Russia,Argentina,2010.0,1,2.0,transport helicopter
United States,Argentina,1975.0,1,1.0,tug
United States,Argentina,1961.0,1,2.0,tug
United States,Argentina,1999.0,1,20.0,APC
United States,Argentina,1996.0,3,16.0,helicopter
United States,Argentina,1992.0,1,3.0,transport aircraft
United Kingdom,Argentina,1974.0,1,10.0,turbofan
Netherlands,Argentina,1974.0,1,5.0,transport aircraft
Netherlands,Argentina,1998.0,1,1.0,transport aircraft
France,Argentina,2018.0,2,3.0,OPV
United Kingdom,Argentina,1967.0,2,6.0,minesweeper
Italy,Argentina,1978.0,2,4.0,naval SAM system
France,Argentina,1965.0,2,65.0,trainer/combat aircraft
Switzerland,Argentina,2018.0,1,1.0,fire control radar
Denmark,Argentina,2018.0,1,2.0,air/sea search radar
United States,Argentina,2003.0,1,2.0,air search radar
United States,Argentina,2014.0,1,1.0,helicopter
Germany,Argentina,1968.0,1,2.0,submarine
Belgium,Argentina,1980.0,1,5.0,APC
United States,Argentina,2015.0,1,2.0,light transport aircraft
Brazil,Argentina,1987.0,2,30.0,trainer aircraft
Brazil,Argentina,1982.0,1,3.0,maritime patrol aircraft
United States,Argentina,2014.0,1,1.0,helicopter
United States,Argentina,2019.0,1,1.0,light transport aircraft
unknown supplier(s),Argentina,2013.0,1,1.0,light transport aircraft
Germany,Argentina,1978.0,2,4.0,frigate
United States,Argentina,1957.0,1,1.0,light transport aircraft
France,Argentina,2017.0,1,5.0,FGA aircraft
United States,Argentina,1960.0,1,2.0,submarine
United States,Argentina,1961.0,1,3.0,destroyer
United States,Argentina,2015.0,1,1.0,light transport aircraft
United States,Argentina,1982.0,1,4.0,transport aircraft
Germany,Argentina,2012.0,2,10.0,trainer aircraft
United States,Argentina,2021.0,1,2.0,transport helicopter
United States,Argentina,2017.0,3,12.0,trainer aircraft
Spain,Argentina,1979.0,2,5.0,OPV
United States,Argentina,2022.0,1,1.0,transport aircraft
United States,Argentina,1975.0,1,25.0,FGA aircraft
United States,Armas (Guatemala)*,1954.0,1,2.0,fighter aircraft
United States,Armas (Guatemala)*,1954.0,1,1.0,light aircraft
United States,Armas (Guatemala)*,1954.0,1,1.0,fighter aircraft
United States,Armas (Guatemala)*,1954.0,1,3.0,FGA aircraft
United States,Armas (Guatemala)*,1954.0,1,3.0,light transport aircraft
United States,Armas (Guatemala)*,1954.0,1,2.0,trainer aircraft
India,Armenia,2023.0,1,0.0,SAM
Russia,Armenia,2004.0,1,2.0,heavy transport aircraft
Russia,Armenia,2012.0,1,0.0,APC
France,Armenia,2023.0,1,0.0,air search radar
Russia,Armenia,2014.0,1,1.0,tank
Russia,Armenia,2019.0,1,4.0,FGA aircraft
India,Armenia,2023.0,1,0.0,SAM system
United Kingdom,Australia,1971.0,2,2.0,submarine
United States,Australia,2021.0,2,4.0,transport helicopter
United States,Australia,2022.0,1,0.0,ASW helicopter
Spain,Australia,2016.0,1,2.0,replenishment ship
United States,Australia,2022.0,1,0.0,self-propelled MRL
Sweden,Australia,1987.0,5,6.0,submarine
United States,Australia,1995.0,2,12.0,transport aircraft
United States,Australia,2022.0,1,0.0,combat helicopter
United States,Australia,2011.0,4,24.0,ASW helicopter
Denmark,Australia,2018.0,1,0.0,air/sea search radar
United States,Australia,2006.0,3,3.0,naval SAM system
United States,Australia,2009.0,3,3.0,fire control radar
United States,Australia,2008.0,3,3.0,air search radar
Canada,Australia,2017.0,1,3.0,trainer/combat aircraft
France,Australia,2015.0,2,2.0,air refuel system
Canada,Australia,2018.0,1,3.0,helicopter
United States,Australia,2014.0,5,12.0,ASW aircraft
United States,Australia,2015.0,1,0.0,SIGINT aircraft
Netherlands,Australia,2014.0,1,1.0,training ship
Germany,Australia,2018.0,1,0.0,OPV
Spain,Australia,2007.0,3,3.0,destroyer
United States,Australia,2022.0,1,0.0,combat heli radar
South Korea,Australia,2021.0,1,0.0,ALV
South Korea,Australia,2021.0,1,0.0,self-propelled gun
United States,Australia,1988.0,1,1.0,anti-ship missile
United States,Australia,1998.0,1,5.0,anti-ship/ASW torpedo
France,Australia,1989.0,11,12.0,ASW sonar
United States,Australia,2004.0,2,7.0,ARV
United Kingdom,Australia,1950.0,3,6.0,ASW mortar
United Kingdom,Australia,1950.0,1,2.0,ASW mortar
New Zealand,Australia,1968.0,1,1.0,ARV
United States,Australia,1950.0,1,2.0,light helicopter
France,Australia,1963.0,1,3.0,light helicopter
United States,Australia,1998.0,1,2.0,transport helicopter
United Kingdom,Australia,1996.0,1,1.0,ASW helicopter
United States,Australia,1967.0,2,23.0,helicopter
United States,Australia,1993.0,8,8.0,air search radar
United States,Australia,1963.0,1,1.0,destroyer
United States,Australia,1971.0,1,10.0,FGA aircraft
United States,Australia,1994.0,3,3.0,ASW aircraft
United States,Australia,1993.0,2,15.0,bomber aircraft
Sweden,Australia,1991.0,8,8.0,air search radar
South Africa,Australia,1989.0,1,1.0,APC
United States,Australia,1988.0,1,2.0,transport aircraft
United Kingdom,Australia,1961.0,1,6.0,minesweeper
United States,Australia,1962.0,1,2.0,destroyer
United Kingdom,Australia,1949.0,1,1.0,aircraft carrier
United States,Australia,1961.0,3,24.0,helicopter
United States,Australia,1964.0,1,10.0,ASW aircraft
France,Australia,1970.0,2,6.0,FGA aircraft
United States,Australia,1969.0,4,11.0,helicopter
United States,Australia,1972.0,1,12.0,transport helicopter
United States,Australia,1963.0,2,24.0,bomber aircraft
Switzerland,Australia,1967.0,3,19.0,light transport aircraft
United Kingdom,Australia,1965.0,2,8.0,transport aircraft
United States,Australia,1966.0,2,10.0,FGA aircraft
United States,Australia,1966.0,2,14.0,ASW aircraft
United States,Australia,1977.0,1,1.0,frigate
Canada,Australia,1983.0,1,2.0,transport aircraft
United Kingdom,Australia,1980.0,1,2.0,ASW helicopter
United States,Australia,1980.0,1,1.0,frigate
United States,Australia,1976.0,1,12.0,transport aircraft
Germany,Australia,1975.0,1,5.0,armoured bridgelayer
United Kingdom,Australia,2011.0,1,1.0,AALS
United Kingdom,Australia,2017.0,1,1.0,helicopter
United States,Australia,2007.0,2,24.0,FGA aircraft
United Kingdom,Australia,1963.0,3,4.0,submarine
France,Australia,1982.0,1,12.0,light helicopter
United States,Australia,1986.0,2,14.0,transport helicopter
Norway,Australia,2012.0,1,1.0,OPV
United States,Australia,2012.0,1,1.0,heavy transport aircraft
United States,Australia,2011.0,1,1.0,heavy transport aircraft
United States,Australia,2004.0,2,2.0,AEW&C aircraft
United States,Australia,2000.0,2,4.0,AEW&C aircraft
Italy,Australia,1994.0,4,6.0,MCM ship
United Kingdom,Australia,1951.0,2,40.0,trainer aircraft
South Korea,Australia,2023.0,1,0.0,IFV
South Korea,Australia,2004.0,1,1.0,tanker
Austria,Australia,2018.0,1,8.0,light aircraft
Israel,Australia,2023.0,1,0.0,anti-tank missile
United States,Australia,1993.0,1,2.0,landing ship
Switzerland,Australia,1986.0,5,67.0,trainer aircraft
United Kingdom,Australia,1977.0,1,1.0,landing ship
Germany,Australia,1989.0,8,8.0,frigate
United States,Australia,2004.0,2,59.0,tank
United States,Australia,1981.0,6,75.0,FGA aircraft
United States,Australia,1983.0,2,2.0,frigate
United Kingdom,Australia,1977.0,5,15.0,patrol craft
France,Australia,1977.0,1,1.0,replenishment ship
United Kingdom,Australia,1945.0,2,2.0,destroyer
United Kingdom,Australia,1946.0,3,3.0,destroyer
France,Australia,1965.0,1,3.0,light transport aircraft
United States,Australia,2006.0,3,4.0,heavy transport aircraft
United Kingdom,Australia,1989.0,1,1.0,replenishment tanker
United States,Australia,2011.0,1,3.0,light helicopter
United States,Australia,2005.0,2,3.0,light transport aircraft
New Zealand,Australia,1991.0,1,6.0,FGA aircraft
Spain,Australia,2007.0,2,2.0,AALS
United Kingdom,Australia,2015.0,2,2.0,air refuel system
United States,Australia,1980.0,1,4.0,bomber aircraft
Sweden,Australia,2010.0,2,3.0,air search radar
France,Australia,2022.0,1,0.0,ASW sonar
United States,Australia,1987.0,3,25.0,transport helicopter
United States,Australia,2016.0,1,3.0,transport helicopter
United States,Australia,2012.0,1,7.0,transport helicopter
United States,Australia,2015.0,1,2.0,heavy transport aircraft
United Kingdom,Australia,1964.0,1,1.0,destroyer
United States,Australia,1989.0,1,15.0,IFV
United States,Australia,1985.0,1,8.0,ASW helicopter
United Kingdom,Australia,1962.0,1,2.0,light helicopter
United States,Australia,2008.0,2,2.0,gas turbine
United States,Australia,2015.0,1,6.0,ARV
United States,Australia,1976.0,2,2.0,frigate
Germany,Australia,1975.0,1,6.0,ARV
United States,Australia,1975.0,3,10.0,ASW aircraft
United States,Australia,1976.0,2,16.0,ASW aircraft
United States,Australia,2011.0,1,2.0,transport helicopter
Canada,Australia,1964.0,1,7.0,transport aircraft
United States,Australia,2023.0,1,0.0,naval gun
United States,Australia,2020.0,1,0.0,naval SAM system
Ireland,Australia,2023.0,1,0.0,APC
France,Australia,2011.0,4,24.0,ASW sonar
Norway,Australia,2022.0,1,0.0,anti-ship missile
United States,Australia,2021.0,1,0.0,ASW aircraft
Sweden,Austria,1969.0,2,20.0,trainer/combat aircraft
Sweden,Austria,1968.0,2,20.0,trainer/combat aircraft
United Kingdom,Austria,2002.0,2,3.0,transport aircraft
Norway,Austria,1998.0,1,1.0,helicopter
Czechoslovakia,Austria,1955.0,1,4.0,trainer aircraft
United States,Austria,1969.0,1,2.0,transport helicopter
United Kingdom,Austria,1994.0,2,67.0,self-propelled gun
United States,Austria,1987.0,2,18.0,self-propelled gun
Switzerland,Austria,1985.0,1,6.0,trainer aircraft
Italy,Austria,1978.0,2,24.0,helicopter
Soviet Union,Austria,1955.0,1,4.0,trainer aircraft
United States,Austria,1956.0,1,1.0,light helicopter
Belgium,Austria,2015.0,1,7.0,APC
Soviet Union,Austria,1955.0,1,4.0,trainer aircraft
Germany,Austria,1996.0,1,69.0,tank destroyer
United Kingdom,Austria,1956.0,1,56.0,tank destroyer
Italy,Austria,1957.0,1,5.0,trainer aircraft
Sweden,Austria,1961.0,2,30.0,fighter aircraft
Germany,Austria,2016.0,1,18.0,APC
Germany,Austria,2003.0,3,15.0,FGA aircraft
Spain,Austria,2000.0,1,1.0,transport aircraft
Italy,Austria,2014.0,1,1.0,air search radar
Sweden,Austria,1985.0,2,24.0,fighter aircraft
United States,Austria,1980.0,1,50.0,tank
Switzerland,Austria,2023.0,1,0.0,fire control radar
Netherlands,Austria,1996.0,2,114.0,tank
United States,Azerbaijan,2023.0,1,0.0,aircraft engine
Italy,Azerbaijan,2023.0,1,0.0,transport aircraft
Israel,Azerbaijan,2007.0,1,4.0,UAV
Israel,Azerbaijan,2023.0,1,0.0,recce satellite
Ukraine,Azerbaijan,2007.0,2,12.0,combat helicopter
United States,Bahamas,1991.0,1,1.0,landing craft
United Kingdom,Bahamas,1977.0,1,2.0,patrol craft
United Kingdom,Bahamas,1984.0,1,3.0,patrol craft
Netherlands,Bahamas,2014.0,3,4.0,patrol craft
Netherlands,Bahamas,2014.0,1,1.0,landing ship
United States,Bahamas,1997.0,1,2.0,patrol craft
United States,Bahamas,2007.0,1,1.0,light transport aircraft
Netherlands,Bahamas,2014.0,2,4.0,patrol craft
United States,Bahrain,2018.0,2,12.0,combat helicopter
United Kingdom,Bahrain,2003.0,1,6.0,trainer/combat aircraft
United States,Bahrain,1973.0,1,1.0,light helicopter
United States,Bahrain,2019.0,1,0.0,frigate
United States,Bahrain,1989.0,1,6.0,patrol craft
United Kingdom,Bahrain,2002.0,1,3.0,trainer aircraft
United States,Bahrain,2000.0,1,30.0,SSM
United States,Bahrain,1999.0,1,26.0,BVRAAM
Netherlands,Bahrain,1997.0,2,35.0,reconnaissance AV
Netherlands,Bahrain,1993.0,1,13.0,self-propelled gun
Netherlands,Bahrain,1993.0,1,3.0,APC
Sweden,Bahrain,1985.0,4,4.0,air search radar
United States,Bahrain,1990.0,1,9.0,self-propelled MRL
Germany,Bahrain,1985.0,2,2.0,FAC
Germany,Bahrain,1984.0,2,2.0,corvette
Germany,Bahrain,1979.0,1,2.0,FAC
Germany,Bahrain,1979.0,1,2.0,patrol craft
United States,Bahrain,2019.0,1,0.0,aircraft recce system
Malta,Bahrain,2004.0,1,1.0,transport aircraft
United Kingdom,Bahrain,2001.0,1,1.0,transport aircraft
United States,Bahrain,2018.0,1,2.0,patrol craft
UAE,Bahrain,2008.0,1,2.0,landing craft
United States,Bahrain,1997.0,1,18.0,ASW torpedo
United States,Bahrain,1999.0,1,38.0,tank destroyer
United States,Bahrain,1995.0,1,1.0,frigate
United States,Bahrain,2005.0,1,1.0,light transport aircraft
Canada,Bahrain,2014.0,1,27.0,ASM
United Kingdom,Bahrain,2020.0,1,1.0,OPV
United States,Bahrain,1998.0,1,10.0,FGA aircraft
United States,Bahrain,1987.0,1,12.0,FGA aircraft
United States,Bahrain,2007.0,1,8.0,transport helicopter
United States,Bahrain,2004.0,1,1.0,air search radar
Germany,Bahrain,1977.0,1,2.0,light helicopter
United States,Bahrain,1972.0,2,3.0,light helicopter
United States,Bahrain,2012.0,1,12.0,towed gun
United States,Bahrain,2019.0,1,0.0,BVRAAM
Germany,Bahrain,1978.0,1,1.0,light helicopter
United States,Bahrain,2017.0,1,3.0,FGA aircraft
United States,Bahrain,2018.0,1,6.0,towed gun
Pakistan,Bahrain,2018.0,1,6.0,APV
United States,Bahrain,1990.0,1,27.0,tank
Turkiye,Bahrain,2004.0,1,21.0,APV
United Kingdom,Bangladesh,1994.0,1,4.0,minesweeper
South Korea,Bangladesh,1995.0,1,1.0,OPV
Germany,Bangladesh,2011.0,1,2.0,maritime patrol aircraft
Italy,Bangladesh,2016.0,1,2.0,light helicopter
Germany,Bangladesh,2021.0,2,24.0,trainer aircraft
Italy,Bangladesh,2006.0,1,16.0,combat aircraft radar
Ukraine,Bangladesh,1995.0,1,8.0,turbofan
United Kingdom,Bangladesh,2002.0,3,5.0,OPV
Russia,Bangladesh,1999.0,2,8.0,FGA aircraft
United States,Bangladesh,1991.0,1,2.0,landing craft
United Kingdom,Bangladesh,1993.0,1,1.0,OPV
China,Bangladesh,1992.0,1,1.0,FAC
Singapore,Bangladesh,1983.0,1,2.0,patrol craft
France,Bangladesh,1977.0,1,6.0,trainer aircraft
United Kingdom,Bangladesh,1978.0,1,1.0,frigate
United States,Bangladesh,1976.0,1,6.0,helicopter
United States,Bangladesh,2013.0,1,1.0,OPV
Russia,Bangladesh,2011.0,1,3.0,transport helicopter
China,Bangladesh,2011.0,1,3.0,ARV
France,Bangladesh,2011.0,1,2.0,helicopter
China,Bangladesh,2007.0,1,1.0,fighter aircraft
United Kingdom,Bangladesh,2010.0,1,2.0,OPV
South Korea,Bangladesh,2000.0,1,2.0,patrol craft
United States,Bangladesh,1995.0,1,12.0,trainer aircraft
United Kingdom,Bangladesh,1973.0,1,2.0,helicopter
Russia,Bangladesh,2001.0,2,78.0,APC
United Kingdom,Bangladesh,2017.0,2,2.0,MP aircraft radar
Turkiye,Bangladesh,2023.0,1,0.0,towed gun
Russia,Bangladesh,2015.0,2,5.0,transport helicopter
China,Bangladesh,2015.0,1,2.0,frigate
India,Bangladesh,1972.0,1,1.0,transport aircraft
South Korea,Bangladesh,1998.0,1,1.0,frigate
Russia,Bangladesh,2014.0,2,340.0,APC
Italy,Bangladesh,2010.0,1,2.0,light helicopter
United Kingdom,Bangladesh,1976.0,1,1.0,frigate
United States,Bangladesh,2014.0,1,1.0,OPV
China,Bangladesh,2015.0,1,2.0,SAM system
China,Bangladesh,2018.0,1,7.0,trainer/combat aircraft
China,Bangladesh,2012.0,1,2.0,frigate
France,Bangladesh,2015.0,1,4.0,ship engine
China,Bangladesh,2018.0,1,2.0,frigate
Russia,Bangladesh,2004.0,1,3.0,transport helicopter
Malaysia,Bangladesh,1998.0,1,1.0,patrol craft
Czechia,Bangladesh,2012.0,1,3.0,light transport aircraft
Switzerland,Bangladesh,2017.0,1,2.0,fire control radar
Italy,Bangladesh,2016.0,1,1.0,air search radar
China,Bangladesh,2011.0,2,16.0,fighter aircraft
unknown supplier(s),Bangladesh,1995.0,1,1.0,naval gun
China,Bangladesh,2013.0,2,9.0,trainer/combat aircraft
Italy,Bangladesh,2014.0,1,2.0,helicopter
China,Bangladesh,2012.0,1,2.0,frigate
China,Bangladesh,2014.0,1,2.0,corvette
Russia,Bangladesh,2017.0,1,5.0,transport helicopter
Canada,Bangladesh,2016.0,1,2.0,aircraft engine
Spain,Bangladesh,2016.0,1,1.0,transport aircraft
China,Bangladesh,1993.0,1,1.0,minesweeper
Canada,Bangladesh,2020.0,1,2.0,aircraft engine
United Kingdom,Bangladesh,2019.0,2,2.0,transport aircraft
United States,Bangladesh,2018.0,1,50.0,APC
Switzerland,Bangladesh,2017.0,1,4.0,anti-aircraft gun
Germany,Bangladesh,2017.0,2,2.0,maritime patrol aircraft
Canada,Bangladesh,2022.0,1,0.0,landing craft
Russia,Belarus,2015.0,1,4.0,trainer/combat aircraft
Russia,Belarus,2017.0,1,4.0,mobile SAM system
Russia,Belarus,2017.0,1,4.0,FGA aircraft
Ukraine,Belarus,2005.0,2,10.0,trainer aircraft
Russia,Belarus,2015.0,1,4.0,trainer/combat aircraft
Russia,Belarus,2015.0,2,12.0,transport helicopter
France,Belgium,2023.0,1,0.0,anti-tank missile
France,Belgium,2019.0,1,0.0,armoured car
France,Belgium,2019.0,1,0.0,APC
United States,Belgium,2018.0,1,1.0,FGA aircraft
France,Belgium,1996.0,1,14.0,towed gun
Spain,Belgium,2003.0,3,6.0,transport aircraft
Italy,Belgium,2023.0,1,0.0,naval gun
United Kingdom,Belgium,1973.0,1,4.0,ship engine
Sweden,Belgium,1998.0,1,1.0,patrol craft
Singapore,Belgium,1997.0,2,2.0,transport aircraft
Italy,Belgium,1992.0,1,9.0,trainer aircraft
United Kingdom,Belgium,1955.0,1,12.0,fighter aircraft
United States,Belgium,1979.0,1,1.0,air search radar
United States,Belgium,1958.0,1,2.0,transport aircraft
United States,Belgium,1975.0,2,5.0,SSM launcher
France,Belgium,2013.0,2,2.0,patrol craft
France,Belgium,2001.0,2,4.0,MP aircraft radar
France,Belgium,2019.0,1,0.0,MCM ship
United States,Belgium,1957.0,1,6.0,transport aircraft
United States,Belgium,2007.0,1,1.0,transport aircraft
Sweden,Belgium,2020.0,1,0.0,UAV
Denmark,Belgium,2021.0,1,0.0,air/sea search radar
United States,Belgium,2023.0,1,0.0,naval SAM system
United States,Belgium,1973.0,1,4.0,naval SAM system
Netherlands,Belgium,2023.0,1,0.0,frigate
Netherlands,Belgium,2005.0,2,2.0,frigate
United States,Belgium,2011.0,1,180.0,guided bomb
United States,Belgium,1975.0,7,116.0,FGA aircraft
United Kingdom,Belgium,1974.0,1,3.0,transport aircraft
United States,Belgium,1975.0,1,6.0,light transport aircraft
France,Belgium,2022.0,1,0.0,self-propelled gun
Germany,Belgium,2001.0,3,4.0,ASW helicopter
United Kingdom,Belgium,1974.0,1,5.0,transport helicopter
Portugal,Belgium,2014.0,1,1.0,transport aircraft
Netherlands,Belgium,2018.0,1,9.0,ground surv radar
United Kingdom,Belgium,1975.0,2,12.0,light transport aircraft
Portugal,Belgium,2009.0,1,1.0,transport aircraft
France,Belgium,2007.0,3,4.0,transport helicopter
France,Belgium,1973.0,1,4.0,naval gun
France,Belgium,1973.0,1,4.0,ASW MRL
Germany,Belgium,2023.0,1,0.0,ship engine
United Kingdom,Belgium,1950.0,1,1.0,transport ship
France,Belgium,1969.0,1,18.0,FGA aircraft
United States,Belgium,2020.0,1,0.0,UAV
France,Belgium,2023.0,1,0.0,self-propelled gun
United Kingdom,Belize,1996.0,1,1.0,trainer aircraft
Taiwan,Belize,2015.0,1,2.0,helicopter
United States,Belize,2022.0,1,1.0,light transport aircraft
Belgium,Benin,2007.0,2,4.0,light helicopter
Belgium,Benin,2002.0,1,2.0,transport aircraft
France,Benin,1983.0,1,1.0,light helicopter
