From,To,Year of order,Duration,Quantity,Weapon description,Weight
Germany,Algeria,2012.0,1,2.0,frigate,5.0
Russia,Algeria,2014.0,1,2.0,submarine,8.0
United States,Algeria,2012.0,1,2.0,gas turbine,2.0
Denmark,Algeria,2012.0,2,2.0,air/sea search radar,3.0
Russia,Algeria,2006.0,3,185.0,tank,8.0
France,Algeria,2012.0,1,2.0,ASW sonar,3.0
Netherlands,Algeria,2013.0,2,3.0,air search radar,3.0
Russia,Algeria,2015.0,1,8.0,transport helicopter,3.0
Italy,Algeria,2014.0,1,1.0,MCM ship,3.0
Turkiye,Algeria,2022.0,1,0.0,armed UAV,5.0
United Kingdom,Algeria,2007.0,3,4.0,helicopter,3.0
Canada,Angola,2022.0,1,0.0,aircraft engine,2.0
France,Angola,2023.0,1,0.0,corvette,5.0
Netherlands,Angola,2005.0,1,1.0,transport aircraft,3.0
Canada,Angola,1980.0,1,1.0,MP aircraft radar,3.0
Soviet Union,Angola,1975.0,1,32.0,APC,3.0
Russia,Angola,1993.0,2,30.0,tank,8.0
Bulgaria,Angola,1993.0,1,29.0,IFV,5.0
Spain,Angola,1991.0,2,4.0,patrol craft,2.0
Canada,Angola,1986.0,1,4.0,aircraft engine,2.0
Spain,Angola,1988.0,1,4.0,transport aircraft,3.0
Switzerland,Angola,1986.0,1,4.0,trainer aircraft,2.0
Portugal,Angola,1975.0,2,5.0,patrol craft,2.0
France,Angola,1985.0,1,6.0,helicopter,3.0
Spain,Angola,1985.0,2,8.0,transport aircraft,3.0
Portugal,Angola,1983.0,1,2.0,light helicopter,2.0
Switzerland,Angola,1981.0,1,12.0,trainer aircraft,2.0
Switzerland,Angola,1976.0,1,4.0,light transport aircraft,2.0
Algeria,Angola,1980.0,1,4.0,transport aircraft,3.0
Netherlands,Angola,1980.0,1,1.0,maritime patrol aircraft,3.0
Moldova,Angola,2000.0,2,2.0,transport aircraft,3.0
Canada,Angola,2018.0,1,4.0,aircraft engine,2.0
South Africa,Angola,2012.0,1,2.0,naval SAM system,5.0
China,Angola,2018.0,1,2.0,transport aircraft,3.0
Belarus,Angola,2017.0,1,4.0,self-propelled MRL,5.0
Russia,Angola,2013.0,3,12.0,FGA aircraft,8.0
Spain,Angola,2022.0,1,0.0,transport aircraft,3.0
Canada,Angola,1981.0,1,12.0,aircraft engine,2.0
Spain,Angola,2022.0,1,0.0,maritime patrol aircraft,3.0
Portugal,Angola,1975.0,1,6.0,bomber aircraft,8.0
South Africa,Angola,2013.0,2,45.0,APC,3.0
Soviet Union,Angola,1977.0,2,3.0,landing ship,5.0
United States,Angola,2023.0,1,0.0,turbofan,2.0
unknown supplier(s),Antigua and Barbuda,2023.0,1,1.0,light transport aircraft,2.0
Dominican Republic,Antigua and Barbuda,2021.0,1,1.0,light transport aircraft,2.0
United States,Argentina,1977.0,1,4.0,light transport aircraft,2.0
Norway,Argentina,2023.0,1,0.0,ASW aircraft,5.0
Denmark,Argentina,2018.0,2,3.0,air/sea search radar,3.0
United Kingdom,Argentina,1970.0,2,2.0,destroyer,8.0
Norway,Argentina,2023.0,1,0.0,maritime patrol aircraft,3.0
United States,Argentina,1965.0,3,50.0,FGA aircraft,8.0
United States,Argentina,2023.0,1,0.0,transport aircraft,3.0
United Kingdom,Argentina,1978.0,2,8.0,ship engine,2.0
United Kingdom,Argentina,1978.0,2,8.0,ship engine,2.0
United Kingdom,Argentina,1980.0,1,10.0,turbojet,2.0
United States,Argentina,1987.0,1,1.0,cargo ship,2.0
United States,Argentina,2001.0,1,1.0,light helicopter,2.0
United States,Argentina,2007.0,2,4.0,transport helicopter,3.0
United States,Argentina,2021.0,1,0.0,light transport aircraft,2.0
France,Argentina,1999.0,1,1.0,replenishment ship,2.0
France,Argentina,1981.0,1,57.0,tank turret,2.0
United Kingdom,Argentina,1997.0,1,9.0,APC,3.0
United States,Argentina,1993.0,1,3.0,ASW aircraft,5.0
Russia,Argentina,1997.0,2,8.0,trainer aircraft,2.0
France,Argentina,1993.0,1,4.0,ASW helicopter,5.0
Netherlands,Argentina,1982.0,1,1.0,air search radar,3.0
United States,Argentina,1992.0,1,2.0,transport aircraft,3.0
Netherlands,Argentina,1978.0,2,4.0,air search radar,3.0
Netherlands,Argentina,1978.0,2,4.0,fire control radar,3.0
United States,Argentina,1978.0,1,6.0,helicopter,3.0
United States,Argentina,1951.0,1,2.0,cruiser,8.0
United Kingdom,Argentina,1958.0,1,1.0,aircraft carrier,13.0
United States,Argentina,1972.0,1,2.0,destroyer,8.0
United States,Argentina,1974.0,1,1.0,destroyer,8.0
United States,Argentina,1973.0,1,1.0,destroyer,8.0
United States,Argentina,1971.0,1,1.0,submarine,8.0
United States,Argentina,1970.0,1,1.0,AALS,1.0
United States,Argentina,1971.0,1,4.0,landing ship,5.0
Netherlands,Argentina,1968.0,1,1.0,aircraft carrier,13.0
United States,Argentina,1981.0,1,1.0,light transport aircraft,2.0
Peru,Argentina,1982.0,1,10.0,FGA aircraft,8.0
Austria,Argentina,1981.0,1,57.0,light tank,5.0
Germany,Argentina,1970.0,1,2.0,FAC,3.0
Italy,Argentina,1980.0,1,10.0,trainer/combat aircraft,5.0
United States,Argentina,1980.0,1,1.0,light transport aircraft,2.0
United States,Argentina,1971.0,1,4.0,ASW helicopter,5.0
United States,Argentina,1972.0,1,6.0,light helicopter,2.0
United States,Argentina,1973.0,1,3.0,transport aircraft,3.0
France,Argentina,1979.0,2,14.0,FGA aircraft,8.0
Germany,Argentina,1977.0,2,2.0,submarine,8.0
France,Argentina,1979.0,1,1.0,corvette,5.0
France,Argentina,1978.0,1,9.0,helicopter,3.0
United States,Argentina,1978.0,1,2.0,tanker/transport aircraft,3.0
United Kingdom,Argentina,1977.0,1,2.0,ASW helicopter,5.0
Italy,Argentina,1972.0,1,3.0,transport aircraft,3.0
France,Argentina,1977.0,1,7.0,FGA aircraft,8.0
United States,Argentina,1977.0,1,16.0,trainer aircraft,2.0
Brazil,Argentina,2007.0,1,1.0,helicopter,3.0
Netherlands,Argentina,1968.0,1,8.0,transport aircraft,3.0
Netherlands,Argentina,1971.0,1,2.0,transport aircraft,3.0
United States,Argentina,2009.0,2,5.0,light helicopter,2.0
China,Argentina,2008.0,1,4.0,APC,3.0
United States,Argentina,1980.0,1,5.0,vehicle engine,2.0
Italy,Argentina,1970.0,1,2.0,naval gun,3.0
France,Argentina,2018.0,1,1.0,OPV,2.0
Germany,Argentina,1979.0,6,6.0,frigate,5.0
Russia,Argentina,2010.0,1,2.0,transport helicopter,3.0
United States,Argentina,1975.0,1,1.0,tug,1.0
United States,Argentina,1961.0,1,2.0,tug,1.0
United States,Argentina,1999.0,1,20.0,APC,3.0
United States,Argentina,1996.0,3,16.0,helicopter,3.0
United States,Argentina,1992.0,1,3.0,transport aircraft,3.0
United Kingdom,Argentina,1974.0,1,10.0,turbofan,2.0
Netherlands,Argentina,1974.0,1,5.0,transport aircraft,3.0
Netherlands,Argentina,1998.0,1,1.0,transport aircraft,3.0
France,Argentina,2018.0,2,3.0,OPV,2.0
United Kingdom,Argentina,1967.0,2,6.0,minesweeper,2.0
Italy,Argentina,1978.0,2,4.0,naval SAM system,5.0
France,Argentina,1965.0,2,65.0,trainer/combat aircraft,5.0
Switzerland,Argentina,2018.0,1,1.0,fire control radar,3.0
Denmark,Argentina,2018.0,1,2.0,air/sea search radar,3.0
United States,Argentina,2003.0,1,2.0,air search radar,3.0
United States,Argentina,2014.0,1,1.0,helicopter,3.0
Germany,Argentina,1968.0,1,2.0,submarine,8.0
Belgium,Argentina,1980.0,1,5.0,APC,3.0
United States,Argentina,2015.0,1,2.0,light transport aircraft,2.0
Brazil,Argentina,1987.0,2,30.0,trainer aircraft,2.0
Brazil,Argentina,1982.0,1,3.0,maritime patrol aircraft,3.0
United States,Argentina,2014.0,1,1.0,helicopter,3.0
United States,Argentina,2019.0,1,1.0,light transport aircraft,2.0
unknown supplier(s),Argentina,2013.0,1,1.0,light transport aircraft,2.0
Germany,Argentina,1978.0,2,4.0,frigate,5.0
United States,Argentina,1957.0,1,1.0,light transport aircraft,2.0
France,Argentina,2017.0,1,5.0,FGA aircraft,8.0
United States,Argentina,1960.0,1,2.0,submarine,8.0
United States,Argentina,1961.0,1,3.0,destroyer,8.0
United States,Argentina,2015.0,1,1.0,light transport aircraft,2.0
United States,Argentina,1982.0,1,4.0,transport aircraft,3.0
Germany,Argentina,2012.0,2,10.0,trainer aircraft,2.0
United States,Argentina,2021.0,1,2.0,transport helicopter,3.0
United States,Argentina,2017.0,3,12.0,trainer aircraft,2.0
Spain,Argentina,1979.0,2,5.0,OPV,2.0
United States,Argentina,2022.0,1,1.0,transport aircraft,3.0
United States,Argentina,1975.0,1,25.0,FGA aircraft,8.0
United States,Armas (Guatemala)*,1954.0,1,2.0,fighter aircraft,8.0
United States,Armas (Guatemala)*,1954.0,1,1.0,light aircraft,2.0
United States,Armas (Guatemala)*,1954.0,1,1.0,fighter aircraft,8.0
United States,Armas (Guatemala)*,1954.0,1,3.0,FGA aircraft,8.0
United States,Armas (Guatemala)*,1954.0,1,3.0,light transport aircraft,2.0
United States,Armas (Guatemala)*,1954.0,1,2.0,trainer aircraft,2.0
India,Armenia,2023.0,1,0.0,SAM,5.0
Russia,Armenia,2004.0,1,2.0,heavy transport aircraft,5.0
Russia,Armenia,2012.0,1,0.0,APC,3.0
France,Armenia,2023.0,1,0.0,air search radar,3.0
Russia,Armenia,2014.0,1,1.0,tank,8.0
Russia,Armenia,2019.0,1,4.0,FGA aircraft,8.0
India,Armenia,2023.0,1,0.0,SAM system,5.0
United Kingdom,Australia,1971.0,2,2.0,submarine,8.0
United States,Australia,2021.0,2,4.0,transport helicopter,3.0
United States,Australia,2022.0,1,0.0,ASW helicopter,5.0
Spain,Australia,2016.0,1,2.0,replenishment ship,2.0
United States,Australia,2022.0,1,0.0,self-propelled MRL,5.0
Sweden,Australia,1987.0,5,6.0,submarine,8.0
United States,Australia,1995.0,2,12.0,transport aircraft,3.0
United States,Australia,2022.0,1,0.0,combat helicopter,5.0
United States,Australia,2011.0,4,24.0,ASW helicopter,5.0
Denmark,Australia,2018.0,1,0.0,air/sea search radar,3.0
United States,Australia,2006.0,3,3.0,naval SAM system,5.0
United States,Australia,2009.0,3,3.0,fire control radar,3.0
United States,Australia,2008.0,3,3.0,air search radar,3.0
Canada,Australia,2017.0,1,3.0,trainer/combat aircraft,5.0
France,Australia,2015.0,2,2.0,air refuel system,2.0
Canada,Australia,2018.0,1,3.0,helicopter,3.0
United States,Australia,2014.0,5,12.0,ASW aircraft,5.0
United States,Australia,2015.0,1,0.0,SIGINT aircraft,3.0
Netherlands,Australia,2014.0,1,1.0,training ship,2.0
Germany,Australia,2018.0,1,0.0,OPV,2.0
Spain,Australia,2007.0,3,3.0,destroyer,8.0
United States,Australia,2022.0,1,0.0,combat heli radar,3.0
South Korea,Australia,2021.0,1,0.0,ALV,1.0
South Korea,Australia,2021.0,1,0.0,self-propelled gun,5.0
United States,Australia,1988.0,1,1.0,anti-ship missile,8.0
United States,Australia,1998.0,1,5.0,anti-ship/ASW torpedo,5.0
France,Australia,1989.0,11,12.0,ASW sonar,3.0
United States,Australia,2004.0,2,7.0,ARV,2.0
United Kingdom,Australia,1950.0,3,6.0,ASW mortar,3.0
United Kingdom,Australia,1950.0,1,2.0,ASW mortar,3.0
New Zealand,Australia,1968.0,1,1.0,ARV,2.0
United States,Australia,1950.0,1,2.0,light helicopter,2.0
France,Australia,1963.0,1,3.0,light helicopter,2.0
United States,Australia,1998.0,1,2.0,transport helicopter,3.0
United Kingdom,Australia,1996.0,1,1.0,ASW helicopter,5.0
United States,Australia,1967.0,2,23.0,helicopter,3.0
United States,Australia,1993.0,8,8.0,air search radar,3.0
United States,Australia,1963.0,1,1.0,destroyer,8.0
United States,Australia,1971.0,1,10.0,FGA aircraft,8.0
United States,Australia,1994.0,3,3.0,ASW aircraft,5.0
United States,Australia,1993.0,2,15.0,bomber aircraft,8.0
Sweden,Australia,1991.0,8,8.0,air search radar,3.0
South Africa,Australia,1989.0,1,1.0,APC,3.0
United States,Australia,1988.0,1,2.0,transport aircraft,3.0
United Kingdom,Australia,1961.0,1,6.0,minesweeper,2.0
United States,Australia,1962.0,1,2.0,destroyer,8.0
United Kingdom,Australia,1949.0,1,1.0,aircraft carrier,13.0
United States,Australia,1961.0,3,24.0,helicopter,3.0
United States,Australia,1964.0,1,10.0,ASW aircraft,5.0
France,Australia,1970.0,2,6.0,FGA aircraft,8.0
United States,Australia,1969.0,4,11.0,helicopter,3.0
United States,Australia,1972.0,1,12.0,transport helicopter,3.0
United States,Australia,1963.0,2,24.0,bomber aircraft,8.0
Switzerland,Australia,1967.0,3,19.0,light transport aircraft,2.0
United Kingdom,Australia,1965.0,2,8.0,transport aircraft,3.0
United States,Australia,1966.0,2,10.0,FGA aircraft,8.0
United States,Australia,1966.0,2,14.0,ASW aircraft,5.0
United States,Australia,1977.0,1,1.0,frigate,5.0
Canada,Australia,1983.0,1,2.0,transport aircraft,3.0
United Kingdom,Australia,1980.0,1,2.0,ASW helicopter,5.0
United States,Australia,1980.0,1,1.0,frigate,5.0
United States,Australia,1976.0,1,12.0,transport aircraft,3.0
Germany,Australia,1975.0,1,5.0,armoured bridgelayer,2.0
United Kingdom,Australia,2011.0,1,1.0,AALS,1.0
United Kingdom,Australia,2017.0,1,1.0,helicopter,3.0
United States,Australia,2007.0,2,24.0,FGA aircraft,8.0
United Kingdom,Australia,1963.0,3,4.0,submarine,8.0
France,Australia,1982.0,1,12.0,light helicopter,2.0
United States,Australia,1986.0,2,14.0,transport helicopter,3.0
Norway,Australia,2012.0,1,1.0,OPV,2.0
United States,Australia,2012.0,1,1.0,heavy transport aircraft,5.0
United States,Australia,2011.0,1,1.0,heavy transport aircraft,5.0
United States,Australia,2004.0,2,2.0,AEW&C aircraft,8.0
United States,Australia,2000.0,2,4.0,AEW&C aircraft,8.0
Italy,Australia,1994.0,4,6.0,MCM ship,3.0
United Kingdom,Australia,1951.0,2,40.0,trainer aircraft,2.0
South Korea,Australia,2023.0,1,0.0,IFV,5.0
South Korea,Australia,2004.0,1,1.0,tanker,2.0
Austria,Australia,2018.0,1,8.0,light aircraft,2.0
Israel,Australia,2023.0,1,0.0,anti-tank missile,5.0
United States,Australia,1993.0,1,2.0,landing ship,5.0
Switzerland,Australia,1986.0,5,67.0,trainer aircraft,2.0
United Kingdom,Australia,1977.0,1,1.0,landing ship,5.0
Germany,Australia,1989.0,8,8.0,frigate,5.0
United States,Australia,2004.0,2,59.0,tank,8.0
United States,Australia,1981.0,6,75.0,FGA aircraft,8.0
United States,Australia,1983.0,2,2.0,frigate,5.0
United Kingdom,Australia,1977.0,5,15.0,patrol craft,2.0
France,Australia,1977.0,1,1.0,replenishment ship,2.0
United Kingdom,Australia,1945.0,2,2.0,destroyer,8.0
United Kingdom,Australia,1946.0,3,3.0,destroyer,8.0
France,Australia,1965.0,1,3.0,light transport aircraft,2.0
United States,Australia,2006.0,3,4.0,heavy transport aircraft,5.0
United Kingdom,Australia,1989.0,1,1.0,replenishment tanker,2.0
United States,Australia,2011.0,1,3.0,light helicopter,2.0
United States,Australia,2005.0,2,3.0,light transport aircraft,2.0
New Zealand,Australia,1991.0,1,6.0,FGA aircraft,8.0
Spain,Australia,2007.0,2,2.0,AALS,1.0
United Kingdom,Australia,2015.0,2,2.0,air refuel system,2.0
United States,Australia,1980.0,1,4.0,bomber aircraft,8.0
Sweden,Australia,2010.0,2,3.0,air search radar,3.0
France,Australia,2022.0,1,0.0,ASW sonar,3.0
United States,Australia,1987.0,3,25.0,transport helicopter,3.0
United States,Australia,2016.0,1,3.0,transport helicopter,3.0
United States,Australia,2012.0,1,7.0,transport helicopter,3.0
United States,Australia,2015.0,1,2.0,heavy transport aircraft,5.0
United Kingdom,Australia,1964.0,1,1.0,destroyer,8.0
United States,Australia,1989.0,1,15.0,IFV,5.0
United States,Australia,1985.0,1,8.0,ASW helicopter,5.0
United Kingdom,Australia,1962.0,1,2.0,light helicopter,2.0
United States,Australia,2008.0,2,2.0,gas turbine,2.0
United States,Australia,2015.0,1,6.0,ARV,2.0
United States,Australia,1976.0,2,2.0,frigate,5.0
Germany,Australia,1975.0,1,6.0,ARV,2.0
United States,Australia,1975.0,3,10.0,ASW aircraft,5.0
United States,Australia,1976.0,2,16.0,ASW aircraft,5.0
United States,Australia,2011.0,1,2.0,transport helicopter,3.0
Canada,Australia,1964.0,1,7.0,transport aircraft,3.0
United States,Australia,2023.0,1,0.0,naval gun,3.0
United States,Australia,2020.0,1,0.0,naval SAM system,5.0
Ireland,Australia,2023.0,1,0.0,APC,3.0
France,Australia,2011.0,4,24.0,ASW sonar,3.0
Norway,Australia,2022.0,1,0.0,anti-ship missile,8.0
United States,Australia,2021.0,1,0.0,ASW aircraft,5.0
Sweden,Austria,1969.0,2,20.0,trainer/combat aircraft,5.0
Sweden,Austria,1968.0,2,20.0,trainer/combat aircraft,5.0
United Kingdom,Austria,2002.0,2,3.0,transport aircraft,3.0
Norway,Austria,1998.0,1,1.0,helicopter,3.0
Czechoslovakia,Austria,1955.0,1,4.0,trainer aircraft,2.0
United States,Austria,1969.0,1,2.0,transport helicopter,3.0
United Kingdom,Austria,1994.0,2,67.0,self-propelled gun,5.0
United States,Austria,1987.0,2,18.0,self-propelled gun,5.0
Switzerland,Austria,1985.0,1,6.0,trainer aircraft,2.0
Italy,Austria,1978.0,2,24.0,helicopter,3.0
Soviet Union,Austria,1955.0,1,4.0,trainer aircraft,2.0
United States,Austria,1956.0,1,1.0,light helicopter,2.0
Belgium,Austria,2015.0,1,7.0,APC,3.0
Soviet Union,Austria,1955.0,1,4.0,trainer aircraft,2.0
Germany,Austria,1996.0,1,69.0,tank destroyer,5.0
United Kingdom,Austria,1956.0,1,56.0,tank destroyer,5.0
Italy,Austria,1957.0,1,5.0,trainer aircraft,2.0
Sweden,Austria,1961.0,2,30.0,fighter aircraft,8.0
Germany,Austria,2016.0,1,18.0,APC,3.0
Germany,Austria,2003.0,3,15.0,FGA aircraft,8.0
Spain,Austria,2000.0,1,1.0,transport aircraft,3.0
Italy,Austria,2014.0,1,1.0,air search radar,3.0
Sweden,Austria,1985.0,2,24.0,fighter aircraft,8.0
United States,Austria,1980.0,1,50.0,tank,8.0
Switzerland,Austria,2023.0,1,0.0,fire control radar,3.0
Netherlands,Austria,1996.0,2,114.0,tank,8.0
United States,Azerbaijan,2023.0,1,0.0,aircraft engine,2.0
Italy,Azerbaijan,2023.0,1,0.0,transport aircraft,3.0
Israel,Azerbaijan,2007.0,1,4.0,UAV,3.0
Israel,Azerbaijan,2023.0,1,0.0,recce satellite,8.0
Ukraine,Azerbaijan,2007.0,2,12.0,combat helicopter,5.0
United States,Bahamas,1991.0,1,1.0,landing craft,3.0
United Kingdom,Bahamas,1977.0,1,2.0,patrol craft,2.0
United Kingdom,Bahamas,1984.0,1,3.0,patrol craft,2.0
Netherlands,Bahamas,2014.0,3,4.0,patrol craft,2.0
Netherlands,Bahamas,2014.0,1,1.0,landing ship,5.0
United States,Bahamas,1997.0,1,2.0,patrol craft,2.0
United States,Bahamas,2007.0,1,1.0,light transport aircraft,2.0
Netherlands,Bahamas,2014.0,2,4.0,patrol craft,2.0
United States,Bahrain,2018.0,2,12.0,combat helicopter,5.0
United Kingdom,Bahrain,2003.0,1,6.0,trainer/combat aircraft,5.0
United States,Bahrain,1973.0,1,1.0,light helicopter,2.0
United States,Bahrain,2019.0,1,0.0,frigate,5.0
United States,Bahrain,1989.0,1,6.0,patrol craft,2.0
United Kingdom,Bahrain,2002.0,1,3.0,trainer aircraft,2.0
United States,Bahrain,2000.0,1,30.0,SSM,8.0
United States,Bahrain,1999.0,1,26.0,BVRAAM,8.0
Netherlands,Bahrain,1997.0,2,35.0,reconnaissance AV,3.0
Netherlands,Bahrain,1993.0,1,13.0,self-propelled gun,5.0
Netherlands,Bahrain,1993.0,1,3.0,APC,3.0
Sweden,Bahrain,1985.0,4,4.0,air search radar,3.0
United States,Bahrain,1990.0,1,9.0,self-propelled MRL,5.0
Germany,Bahrain,1985.0,2,2.0,FAC,3.0
Germany,Bahrain,1984.0,2,2.0,corvette,5.0
Germany,Bahrain,1979.0,1,2.0,FAC,3.0
Germany,Bahrain,1979.0,1,2.0,patrol craft,2.0
United States,Bahrain,2019.0,1,0.0,aircraft recce system,3.0
Malta,Bahrain,2004.0,1,1.0,transport aircraft,3.0
United Kingdom,Bahrain,2001.0,1,1.0,transport aircraft,3.0
United States,Bahrain,2018.0,1,2.0,patrol craft,2.0
UAE,Bahrain,2008.0,1,2.0,landing craft,3.0
United States,Bahrain,1997.0,1,18.0,ASW torpedo,5.0
United States,Bahrain,1999.0,1,38.0,tank destroyer,5.0
United States,Bahrain,1995.0,1,1.0,frigate,5.0
United States,Bahrain,2005.0,1,1.0,light transport aircraft,2.0
Canada,Bahrain,2014.0,1,27.0,ASM,8.0
United Kingdom,Bahrain,2020.0,1,1.0,OPV,2.0
United States,Bahrain,1998.0,1,10.0,FGA aircraft,8.0
United States,Bahrain,1987.0,1,12.0,FGA aircraft,8.0
United States,Bahrain,2007.0,1,8.0,transport helicopter,3.0
United States,Bahrain,2004.0,1,1.0,air search radar,3.0
Germany,Bahrain,1977.0,1,2.0,light helicopter,2.0
United States,Bahrain,1972.0,2,3.0,light helicopter,2.0
United States,Bahrain,2012.0,1,12.0,towed gun,3.0
United States,Bahrain,2019.0,1,0.0,BVRAAM,8.0
Germany,Bahrain,1978.0,1,1.0,light helicopter,2.0
United States,Bahrain,2017.0,1,3.0,FGA aircraft,8.0
United States,Bahrain,2018.0,1,6.0,towed gun,3.0
Pakistan,Bahrain,2018.0,1,6.0,APV,3.0
United States,Bahrain,1990.0,1,27.0,tank,8.0
Turkiye,Bahrain,2004.0,1,21.0,APV,3.0
United Kingdom,Bangladesh,1994.0,1,4.0,minesweeper,2.0
South Korea,Bangladesh,1995.0,1,1.0,OPV,2.0
Germany,Bangladesh,2011.0,1,2.0,maritime patrol aircraft,3.0
Italy,Bangladesh,2016.0,1,2.0,light helicopter,2.0
Germany,Bangladesh,2021.0,2,24.0,trainer aircraft,2.0
Italy,Bangladesh,2006.0,1,16.0,combat aircraft radar,3.0
Ukraine,Bangladesh,1995.0,1,8.0,turbofan,2.0
United Kingdom,Bangladesh,2002.0,3,5.0,OPV,2.0
Russia,Bangladesh,1999.0,2,8.0,FGA aircraft,8.0
United States,Bangladesh,1991.0,1,2.0,landing craft,3.0
United Kingdom,Bangladesh,1993.0,1,1.0,OPV,2.0
China,Bangladesh,1992.0,1,1.0,FAC,3.0
Singapore,Bangladesh,1983.0,1,2.0,patrol craft,2.0
France,Bangladesh,1977.0,1,6.0,trainer aircraft,2.0
United Kingdom,Bangladesh,1978.0,1,1.0,frigate,5.0
United States,Bangladesh,1976.0,1,6.0,helicopter,3.0
United States,Bangladesh,2013.0,1,1.0,OPV,2.0
Russia,Bangladesh,2011.0,1,3.0,transport helicopter,3.0
China,Bangladesh,2011.0,1,3.0,ARV,2.0
France,Bangladesh,2011.0,1,2.0,helicopter,3.0
China,Bangladesh,2007.0,1,1.0,fighter aircraft,8.0
United Kingdom,Bangladesh,2010.0,1,2.0,OPV,2.0
South Korea,Bangladesh,2000.0,1,2.0,patrol craft,2.0
United States,Bangladesh,1995.0,1,12.0,trainer aircraft,2.0
United Kingdom,Bangladesh,1973.0,1,2.0,helicopter,3.0
Russia,Bangladesh,2001.0,2,78.0,APC,3.0
United Kingdom,Bangladesh,2017.0,2,2.0,MP aircraft radar,3.0
Turkiye,Bangladesh,2023.0,1,0.0,towed gun,3.0
Russia,Bangladesh,2015.0,2,5.0,transport helicopter,3.0
China,Bangladesh,2015.0,1,2.0,frigate,5.0
India,Bangladesh,1972.0,1,1.0,transport aircraft,3.0
South Korea,Bangladesh,1998.0,1,1.0,frigate,5.0
Russia,Bangladesh,2014.0,2,340.0,APC,3.0
Italy,Bangladesh,2010.0,1,2.0,light helicopter,2.0
United Kingdom,Bangladesh,1976.0,1,1.0,frigate,5.0
United States,Bangladesh,2014.0,1,1.0,OPV,2.0
China,Bangladesh,2015.0,1,2.0,SAM system,5.0
China,Bangladesh,2018.0,1,7.0,trainer/combat aircraft,5.0
China,Bangladesh,2012.0,1,2.0,frigate,5.0
France,Bangladesh,2015.0,1,4.0,ship engine,2.0
China,Bangladesh,2018.0,1,2.0,frigate,5.0
Russia,Bangladesh,2004.0,1,3.0,transport helicopter,3.0
Malaysia,Bangladesh,1998.0,1,1.0,patrol craft,2.0
Czechia,Bangladesh,2012.0,1,3.0,light transport aircraft,2.0
Switzerland,Bangladesh,2017.0,1,2.0,fire control radar,3.0
Italy,Bangladesh,2016.0,1,1.0,air search radar,3.0
China,Bangladesh,2011.0,2,16.0,fighter aircraft,8.0
unknown supplier(s),Bangladesh,1995.0,1,1.0,naval gun,3.0
China,Bangladesh,2013.0,2,9.0,trainer/combat aircraft,5.0
Italy,Bangladesh,2014.0,1,2.0,helicopter,3.0
China,Bangladesh,2012.0,1,2.0,frigate,5.0
